Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22u,
C3,0603,1,10n,
"C4, C6",0603,2,0.1u,
C5,0603,1,2.2n,
D1,D_SMA_Handsoldering,1,D_Schottky,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
L1,L_Changjiang_FTC322510S,1,10u,
"R1, R2, R4",0603,3,10k,
R3,0603,1,75k,
R5,0603,1,1k,
R6,0603,1,2k,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
SW3,SW_E-Switch_EG1271_SPDT,1,SW_SPDT,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,SOT-23-6,1,MT3608,
U3,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
