Designator,Mid X,Mid Y,Rotation,Layer
C1,140.0,-68.0,0.0,top
C2,149.0,-76.5,90.0,top
C3,161.225,-53.5,0.0,top
C4,161.225,-51.0,0.0,top
C5,150.5,-43.0,90.0,top
C6,159.5,-47.0,0.0,top
D1,142.5,-78.0,180.0,top
J1,125.5,-73.77,0.0,top
J2,120.005,-64.5,270.0,top
J3,117.0,-73.81,0.0,top
L1,135.5,-78.0,0.0,top
R1,124.5,-45.0,270.0,top
R2,161.5,-57.325,270.0,top
R3,145.5,-73.5,90.0,top
R4,143.5,-69.0,90.0,top
SW1,121.0,-56.0,180.0,top
SW2,154.25,-55.75,180.0,top
SW3,132.0,-70.0925,270.0,top
U1,138.25,-50.435,0.0,top
U2,140.5,-72.5,0.0,top
U3,154.0,-47.0,90.0,top
